date_local,latitude,longitude,parameter_name,arithmetic_mean
2015-12-23,40.816,-73.902,Ozone,0.002706
2015-12-24,40.816,-73.902,Ozone,0.004471
2015-12-25,40.816,-73.902,Ozone,0.006059
2015-12-26,40.816,-73.902,Ozone,0.020118
2015-12-27,40.816,-73.902,Ozone,0.011294
2015-12-28,40.816,-73.902,Ozone,0.022352999999999998
2015-12-29,40.816,-73.902,Ozone,0.006294
2015-12-30,40.816,-73.902,Ozone,0.001
2015-12-31,40.816,-73.902,Ozone,0.01625
2015-01-01,40.8679,-73.87809,Ozone,0.019353
2015-01-02,40.8679,-73.87809,Ozone,0.013824
2015-01-03,40.8679,-73.87809,Ozone,0.023118
2015-01-04,40.8679,-73.87809,Ozone,0.009059
2015-01-05,40.8679,-73.87809,Ozone,0.028881999999999998
2015-01-06,40.8679,-73.87809,Ozone,0.008
2015-01-07,40.8679,-73.87809,Ozone,0.025882
2015-01-08,40.8679,-73.87809,Ozone,0.015470999999999999
2015-01-09,40.8679,-73.87809,Ozone,0.018059
2015-01-10,40.8679,-73.87809,Ozone,0.016765
2015-01-11,40.8679,-73.87809,Ozone,0.009235
2015-01-12,40.8679,-73.87809,Ozone,0.005353
2015-01-13,40.8679,-73.87809,Ozone,0.017058999999999998
2015-01-14,40.8679,-73.87809,Ozone,0.010706
2015-01-15,40.8679,-73.87809,Ozone,0.010412
2015-01-16,40.8679,-73.87809,Ozone,0.027940999999999997
2015-01-17,40.8679,-73.87809,Ozone,0.014294
2015-01-18,40.8679,-73.87809,Ozone,0.003
2015-01-19,40.8679,-73.87809,Ozone,0.018352999999999998
2015-01-20,40.8679,-73.87809,Ozone,0.021235
2015-01-21,40.8679,-73.87809,Ozone,0.015646999999999998
2015-01-22,40.8679,-73.87809,Ozone,0.018941
2015-01-23,40.8679,-73.87809,Ozone,0.008235
2015-01-24,40.8679,-73.87809,Ozone,0.013588
2015-01-25,40.8679,-73.87809,Ozone,0.026234999999999998
2015-01-26,40.8679,-73.87809,Ozone,0.026293999999999998
2015-01-27,40.8679,-73.87809,Ozone,0.025117999999999998
2015-01-28,40.8679,-73.87809,Ozone,0.019882
2015-01-29,40.8679,-73.87809,Ozone,0.012529
2015-01-30,40.8679,-73.87809,Ozone,0.028117999999999997
2015-01-31,40.8679,-73.87809,Ozone,0.027764999999999998
2015-02-01,40.8679,-73.87809,Ozone,0.015333
2015-02-02,40.8679,-73.87809,Ozone,0.022118
2015-02-03,40.8679,-73.87809,Ozone,0.013176
2015-02-04,40.8679,-73.87809,Ozone,0.002294
2015-02-05,40.8679,-73.87809,Ozone,0.028235
2015-02-06,40.8679,-73.87809,Ozone,0.011118
2015-02-07,40.8679,-73.87809,Ozone,0.0031179999999999997
2015-02-08,40.8679,-73.87809,Ozone,0.019294
2015-02-09,40.8679,-73.87809,Ozone,0.022234999999999998
2015-02-10,40.8679,-73.87809,Ozone,0.023941
2015-02-11,40.8679,-73.87809,Ozone,0.015588
2015-02-12,40.8679,-73.87809,Ozone,0.020647
2015-02-13,40.8679,-73.87809,Ozone,0.020647
2015-02-14,40.8679,-73.87809,Ozone,0.012764999999999999
2015-02-15,40.8679,-73.87809,Ozone,0.027294
2015-02-16,40.8679,-73.87809,Ozone,0.025588
2015-02-17,40.8679,-73.87809,Ozone,0.013765
2015-02-18,40.8679,-73.87809,Ozone,0.017882
2015-02-19,40.8679,-73.87809,Ozone,0.027176
2015-02-20,40.8679,-73.87809,Ozone,0.016412
2015-02-21,40.8679,-73.87809,Ozone,0.009765
2015-02-22,40.8679,-73.87809,Ozone,0.012647
2015-02-23,40.8679,-73.87809,Ozone,0.026764999999999997
2015-02-24,40.8679,-73.87809,Ozone,0.014235
2015-02-25,40.8679,-73.87809,Ozone,0.021882
2015-02-26,40.8679,-73.87809,Ozone,0.020412
2015-02-27,40.8679,-73.87809,Ozone,0.028940999999999998
2015-02-28,40.8679,-73.87809,Ozone,0.021765
2015-03-01,40.8679,-73.87809,Ozone,0.007
2015-03-02,40.8679,-73.87809,Ozone,0.034353
2015-03-03,40.8679,-73.87809,Ozone,0.021353
2015-03-04,40.8679,-73.87809,Ozone,0.004824
2015-03-05,40.8679,-73.87809,Ozone,0.023705999999999998
2015-03-06,40.8679,-73.87809,Ozone,0.015293999999999999
2015-03-07,40.8679,-73.87809,Ozone,0.017471
2015-03-08,40.8679,-73.87809,Ozone,0.019471
2015-03-09,40.8679,-73.87809,Ozone,0.020118
2015-03-10,40.8679,-73.87809,Ozone,0.004059
2015-03-11,40.8679,-73.87809,Ozone,0.037882
2015-03-12,40.8679,-73.87809,Ozone,0.034059
2015-03-13,40.8679,-73.87809,Ozone,0.027587999999999998
2015-03-14,40.8679,-73.87809,Ozone,0.014705999999999999
2015-03-15,40.8679,-73.87809,Ozone,0.031235
2015-03-16,40.8679,-73.87809,Ozone,0.008647
2015-03-17,40.8679,-73.87809,Ozone,0.032941
2015-03-18,40.8679,-73.87809,Ozone,0.031353
2015-03-19,40.8679,-73.87809,Ozone,0.030470999999999998
2015-03-20,40.8679,-73.87809,Ozone,0.025765
2015-03-21,40.8679,-73.87809,Ozone,0.022118
2015-03-22,40.8679,-73.87809,Ozone,0.032175999999999996
2015-03-23,40.8679,-73.87809,Ozone,0.030823999999999997
2015-03-24,40.8679,-73.87809,Ozone,0.017117999999999998
2015-03-25,40.8679,-73.87809,Ozone,0.013470999999999999
2015-03-26,40.8679,-73.87809,Ozone,0.007882
2015-03-27,40.8679,-73.87809,Ozone,0.020176
2015-03-28,40.8679,-73.87809,Ozone,0.028117999999999997
2015-03-29,40.8679,-73.87809,Ozone,0.028765
2015-03-30,40.8679,-73.87809,Ozone,0.026764999999999997
2015-03-31,40.8679,-73.87809,Ozone,0.021824
2015-04-01,40.8679,-73.87809,Ozone,0.030175999999999998
2015-04-02,40.8679,-73.87809,Ozone,0.030587999999999997
2015-04-03,40.8679,-73.87809,Ozone,0.008412
2015-04-04,40.8679,-73.87809,Ozone,0.031765
2015-04-05,40.8679,-73.87809,Ozone,0.029117999999999998
2015-04-06,40.8679,-73.87809,Ozone,0.021471
2015-04-07,40.8679,-73.87809,Ozone,0.019823999999999998
2015-04-08,40.8679,-73.87809,Ozone,0.034647
2015-04-09,40.8679,-73.87809,Ozone,0.032
2015-04-10,40.8679,-73.87809,Ozone,0.010882
2015-04-11,40.8679,-73.87809,Ozone,0.035529
2015-04-12,40.8679,-73.87809,Ozone,0.027059
2015-04-13,40.8679,-73.87809,Ozone,0.032471
2015-04-14,40.8679,-73.87809,Ozone,0.021941
2015-04-15,40.8679,-73.87809,Ozone,0.036352999999999996
2015-04-16,40.8679,-73.87809,Ozone,0.031118
2015-04-17,40.8679,-73.87809,Ozone,0.028
2015-04-18,40.8679,-73.87809,Ozone,0.049235
2015-04-19,40.8679,-73.87809,Ozone,0.037000000000000005
2015-04-20,40.8679,-73.87809,Ozone,0.029352999999999997
2015-04-21,40.8679,-73.87809,Ozone,0.027059
2015-04-22,40.8679,-73.87809,Ozone,0.034824
2015-04-23,40.8679,-73.87809,Ozone,0.029058999999999998
2015-04-24,40.8679,-73.87809,Ozone,0.031706
2015-04-25,40.8679,-73.87809,Ozone,0.026823999999999997
2015-04-26,40.8679,-73.87809,Ozone,0.0378
2015-04-27,40.8679,-73.87809,Ozone,0.031882
2015-04-28,40.8679,-73.87809,Ozone,0.038882
2015-04-29,40.8679,-73.87809,Ozone,0.039293999999999996
2015-04-30,40.8679,-73.87809,Ozone,0.033412
2015-05-01,40.8679,-73.87809,Ozone,0.028294
2015-05-02,40.8679,-73.87809,Ozone,0.027823999999999998
2015-05-03,40.8679,-73.87809,Ozone,0.027764999999999998
2015-05-04,40.8679,-73.87809,Ozone,0.042470999999999995
2015-05-05,40.8679,-73.87809,Ozone,0.047646999999999995
2015-05-06,40.8679,-73.87809,Ozone,0.025529
2015-05-07,40.8679,-73.87809,Ozone,0.036412
2015-05-08,40.8679,-73.87809,Ozone,0.041235
2015-05-09,40.8679,-73.87809,Ozone,0.020235
2015-05-10,40.8679,-73.87809,Ozone,0.015059
2015-05-11,40.8679,-73.87809,Ozone,0.012588
2015-05-12,40.8679,-73.87809,Ozone,0.042234999999999995
2015-05-13,40.8679,-73.87809,Ozone,0.028412
2015-05-14,40.8679,-73.87809,Ozone,0.038529
2015-05-15,40.8679,-73.87809,Ozone,0.042234999999999995
