Patient_County_Code,Admission_Start_Care_Date,RESP
58,20150715,7
59,20150715,10
60,20150715,2
61,20150715,6
62,20150715,7
58,20150716,5
59,20150716,9
60,20150716,3
61,20150716,6
62,20150716,4
58,20150717,8
59,20150717,4
60,20150717,6
61,20150717,1
62,20150717,2
58,20150718,4
59,20150718,6
60,20150718,6
61,20150718,1
62,20150718,2
58,20150719,4
59,20150719,7
60,20150719,6
61,20150719,7
62,20150719,1
58,20150720,7
59,20150720,10
60,20150720,4
61,20150720,6
62,20150720,2
58,20150721,1
59,20150721,4
60,20150721,4
61,20150721,7
62,20150721,1
58,20150722,5
59,20150722,9
60,20150722,2
61,20150722,8
62,20150722,4
58,20150723,4
59,20150723,8
60,20150723,5
61,20150723,7
62,20150723,2
58,20150724,10
59,20150724,6
60,20150724,4
61,20150724,7
62,20150724,1
58,20150725,4
59,20150725,5
60,20150725,3
61,20150725,3
62,20150725,1
58,20150726,10
59,20150726,10
60,20150726,5
61,20150726,2
62,20150726,0
58,20150727,5
59,20150727,9
60,20150727,3
61,20150727,8
62,20150727,1
58,20150728,4
59,20150728,8
60,20150728,3
61,20150728,11
62,20150728,2
58,20150729,6
59,20150729,5
60,20150729,4
61,20150729,4
62,20150729,3
58,20150730,5
59,20150730,7
60,20150730,4
61,20150730,7
62,20150730,0
58,20150731,5
59,20150731,10
60,20150731,8
61,20150731,8
62,20150731,1
58,20150801,7
59,20150801,5
60,20150801,4
61,20150801,4
62,20150801,1
58,20150802,2
59,20150802,4
60,20150802,2
61,20150802,4
62,20150802,1
58,20150803,3
59,20150803,8
60,20150803,5
61,20150803,5
62,20150803,0
58,20150804,5
59,20150804,11
60,20150804,4
61,20150804,5
62,20150804,5
58,20150805,6
59,20150805,7
60,20150805,1
61,20150805,7
62,20150805,1
58,20150806,7
59,20150806,10
60,20150806,2
61,20150806,4
62,20150806,4
58,20150807,9
59,20150807,8
60,20150807,4
61,20150807,10
62,20150807,3
58,20150808,10
59,20150808,8
60,20150808,4
61,20150808,4
62,20150808,1
58,20150809,0
59,20150809,9
60,20150809,7
61,20150809,5
62,20150809,2
58,20150810,7
59,20150810,9
60,20150810,2
61,20150810,8
62,20150810,3
58,20150811,4
59,20150811,9
60,20150811,9
61,20150811,6
62,20150811,1
58,20150812,8
59,20150812,8
60,20150812,3
61,20150812,7
62,20150812,5
58,20150813,4
59,20150813,11
60,20150813,3
61,20150813,12
62,20150813,1
58,20150814,5
59,20150814,6
60,20150814,6
61,20150814,7
62,20150814,4
58,20150815,3
59,20150815,4
60,20150815,4
61,20150815,4
62,20150815,0
58,20150816,3
59,20150816,4
60,20150816,2
61,20150816,6
62,20150816,3
58,20150817,6
59,20150817,10
60,20150817,8
61,20150817,5
62,20150817,3
58,20150818,12
59,20150818,11
60,20150818,4
61,20150818,3
62,20150818,0
58,20150819,7
59,20150819,6
60,20150819,7
61,20150819,7
62,20150819,1
58,20150820,4
59,20150820,16
60,20150820,4
61,20150820,5
62,20150820,3
58,20150821,4
59,20150821,3
60,20150821,4
61,20150821,9
62,20150821,2
58,20150822,3
59,20150822,3
60,20150822,2
61,20150822,4
62,20150822,0
58,20150823,6
59,20150823,8
60,20150823,3
61,20150823,12
62,20150823,0
58,20150824,9
59,20150824,12
60,20150824,5
61,20150824,7
62,20150824,3
58,20150825,11
59,20150825,8
60,20150825,3
61,20150825,6
62,20150825,2
58,20150826,4
59,20150826,8
60,20150826,5
61,20150826,7
62,20150826,0
58,20150827,3
59,20150827,14
60,20150827,3
61,20150827,2
62,20150827,4
58,20150828,1
59,20150828,11
60,20150828,1
61,20150828,9
62,20150828,1
58,20150829,8
59,20150829,2
60,20150829,4
61,20150829,3
62,20150829,0
58,20150830,2
59,20150830,6
60,20150830,3
61,20150830,3
62,20150830,5
58,20150831,6
59,20150831,9
60,20150831,6
61,20150831,3
62,20150831,1
58,20150901,8
59,20150901,10
60,20150901,13
61,20150901,7
62,20150901,2
58,20150902,8
59,20150902,12
60,20150902,8
61,20150902,2
62,20150902,2
58,20150903,8
59,20150903,12
